teamName,description,location,classification,logoPath
Thunder Hawks -Adult,The Thunder Hawks are a dynamic youth basketball team known for their lightning-fast plays and aggressive defense. They focus on developing young athletes' skills and teamwork.,Los Angeles USA,Youth,C:\Users\LAPTOP CLINIC\Desktop\profile-pics\logo\atlanta-hawks-logo-vector.png
Golden Eagles -Adult,The Golden Eagles are a prestigious youth soccer team that emphasizes technical skills and sportsmanship. They have won multiple regional championships and pride themselves on developing well-rounded athletes.,Portland USA,Youth,C:\Users\LAPTOP CLINIC\Desktop\profile-pics\logo\golden eagles.png
Lightning Bolts -Adult,The Lightning Bolts are a high-energy youth track and field team specializing in sprint events and relay races. They focus on speed development and team coordination.,Eugene USA,Youth,C:\Users\LAPTOP CLINIC\Desktop\profile-pics\logo\Lightning Bolts.png
Storm Riders -Adult,The Storm Riders are a competitive youth swimming team that excels in both individual and relay events. They emphasize endurance training and stroke technique development.,Fort Lauderdale USA,Youth,C:\Users\LAPTOP CLINIC\Desktop\profile-pics\logo\Storm Riders.png
Phoenix Rising -Adult,The Phoenix Rising are an elite youth volleyball team known for their powerful spikes and strategic gameplay. They focus on teamwork communication and athletic development.,Huntington Beach USA,Youth,C:\Users\LAPTOP CLINIC\Desktop\profile-pics\logo\Phoenix_Rising_FC_logo.svg.png
Titan Warriors -Adult,The Titan Warriors are a formidable youth wrestling team that emphasizes strength discipline and mental toughness. They focus on technique mastery and character building.,Iowa City USA,Youth,C:\Users\LAPTOP CLINIC\Desktop\profile-pics\logo\Titan Warriors.avif
Blazing Comets -Adult,The Blazing Comets are a dynamic youth baseball team known for their explosive offense and solid defense. They emphasize fundamentals teamwork and sportsmanship.,Cooperstown USA,Youth,C:\Users\LAPTOP CLINIC\Desktop\profile-pics\logo\Blazing Comets.png
Frost Giants -Adult,The Frost Giants are a competitive youth ice hockey team that excels in both individual skills and team strategy. They focus on skating technique puck handling and defensive positioning.,Detroit USA,Youth,C:\Users\LAPTOP CLINIC\Desktop\profile-pics\logo\Frost Giants.jpg
Silver Sharks -Adult,The Silver Sharks are a dedicated youth tennis team that focuses on individual skill development and competitive play. They emphasize proper technique mental toughness and fair play.,Indian Wells USA,Youth,C:\Users\LAPTOP CLINIC\Desktop\profile-pics\logo\Silver Sharks.jpg
Crimson Dragons -Adult,The Crimson Dragons are an elite youth martial arts team that combines traditional techniques with modern training methods. They focus on discipline respect and personal growth.,Los Angeles USA,Youth,C:\Users\LAPTOP CLINIC\Desktop\profile-pics\logo\Crimson Dragons.jpg
